# Fork-maintained patches for rayward-external/bifrost
#
# These are CodeQL false-positive suppressions on operator-configured log lines.
# Upstream (maximhq/bifrost) does not carry inline CodeQL annotations.
# If upstream rewrites these plugin files, the suppressions may be lost.
#
# Format: <file> | <grep_pattern_that_proves_patch_is_present> | <human_description>

transports/Dockerfile.custom               | golang:1.26.5                 | build fix: builder image Go must be >= the version in core/go.mod (GOTOOLCHAIN=local won't auto-upgrade); bump in step with go.work on every upstream sync or the image build fails at `go work init`
.github/workflows/snyk.yml                 | astral-sh/setup-uv            | infra fix: use astral-sh/setup-uv, NOT step-security/setup-uv (the latter hard-fails private-repo CI with "Subscription is not valid"); upstream/-X theirs syncs keep reverting this
.github/workflows/release-cli.yml          | DISABLED via `gh workflow disable` (state in GitHub Actions, NOT the file) | infra fix: upstream-only release — publishes maxim's standalone cli/ tool to UPSTREAM's R2 bucket + pushes cli/vX tags. Fork has no GH_TOKEN/R2_* secrets, so the release-cli job's checkout fails on EVERY push to main ("Input required and not supplied: token"). Has no purpose on the fork. Disabled via gh (disabled_manually) so it stops firing; the file stays vanilla. Verify with `gh workflow view "Release CLI" --repo rayward-external/bifrost` (state should be disabled_manually). REMOVAL CONDITION: re-enable only if the fork ever needs to ship its own CLI build with its own secrets.
.github/workflows/npx-publish.yml          | DISABLED via `gh workflow disable` (state in GitHub Actions, NOT the file) | infra fix: upstream-only release — publishes @maximhq/bifrost-cli to UPSTREAM's npm. Same failure class as release-cli (checkout token not supplied); fires on cli/ version bumps. No purpose on the fork. Disabled via gh (disabled_manually). REMOVAL CONDITION: re-enable only if the fork ever publishes its own npm package with its own NPM_TOKEN.
.github/workflows/pr-test-notifier.yml     | DISABLED via `gh workflow disable` (state in GitHub Actions, NOT the file) | infra fix: upstream bug — workflow triggers `on: push: branches: [main]` but its only step runs `gh pr comment ${{ github.event.pull_request.number }} --repo ... --body ...`; on a push event pull_request.number is empty, so gh errors "argument required when using the --repo flag" and the "Post Test Instructions" job fails on EVERY push to main. Posting a "test this PR" comment is meaningless on push-to-main (no PR). Cannot fix the trigger in-file (token lacks `workflow` scope). Disabled via gh (disabled_manually) like release-cli/npx-publish. Verify with `gh workflow view "PR Test Notifier" --repo rayward-external/bifrost` (state should be disabled_manually). REMOVAL CONDITION: re-enable if upstream changes the trigger to `pull_request` (then it would have a real PR number) or the fork ever wants PR test-instruction comments.
.github/codeql/codeql-config.yml           | go/incorrect-integer-conversion | FP suppression: protobuf int32 casts are by-design; token counts are internal and in range (rule-level exclude; paths: keys do not work in query-filters)
.github/codeql/codeql-config.yml           | id: go/request-forgery        | FP suppression: all flagged requests target operator-configured endpoints or ValidateExternalURL-guarded URLs (rule-level exclude)
core/utils.go                              | func NewSSRFSafeClient        | security fix: SSRF-safe http.Client that re-validates redirect targets; required by framework/oauth2 + framework/plugins. -X theirs syncs wipe it (leaving net/http unused + callers undefined) — restore or the custom image build fails
transports/bifrost-http/handlers/health.go | func (h *HealthHandler) getLivez | deploy feature: split liveness (/livez, process-only) and readiness (/readyz, short-timeout store pings) probes for GCP Cloud Run (orig PR #45). -X theirs syncs revert health.go to upstream's combined /health only, leaving health_test.go referencing getLivez/getReadyz/pingStores/readinessPingTimeout undefined → test-bifrost-http build fails. Restore from commit 22c98f529 after every sync
transports/bifrost-http/handlers/middlewares.go | livez | deploy fix: add /livez and /readyz to systemWhitelistedRoutes so GCP Cloud Run probes bypass auth (companion to health.go split); remove duplicate /health entry. -X theirs syncs wipe this — re-apply. REMOVAL CONDITION: remove when upstream adds /livez and /readyz routes and whitelists them
framework/oauth2/discovery.go              | Client name len:              | security fix: replaced client-controlled ClientName/RedirectURIs in debug log with counts only
plugins/mocker/main.go                     | math/rand/v2                  | security fix: upgraded from math/rand v1 to v2 for probability/weight routing
framework/logstore/cleaner.go              | math/rand/v2                  | security fix: upgraded from math/rand v1 to v2 for jitter timer
